,task_id,pipeline_id,y
615,582,51,0.9990951884720374
616,121,10,0.9990825688073396
617,14,22,0.9990822222222224
618,9,107,0.99908
619,37,23,0.9990761769121214
620,37,71,0.999066553754956
621,20,16,0.999064
622,14,25,0.9990576388888888
623,77,42,0.9990561167227834
624,121,27,0.9990458015267174
625,121,60,0.9990458015267174
626,121,1,0.9990458015267174
627,121,62,0.9990458015267174
628,566,9,0.9990412017266518
629,566,19,0.999038
630,582,11,0.999027140965513
631,566,15,0.9990145234291324
632,78,72,0.9990134539518116
633,566,3,0.999008797428087
634,121,108,0.99900705233957
635,9,3,0.9990036111111112
636,78,41,0.9989992972439958
637,298,5,0.998996
638,26,46,0.99899
639,333,1,0.998982
640,9,26,0.9989733333333334
641,78,73,0.9989671355438964
642,1,109,0.9989658878356156
643,607,36,0.9989629417657342
644,26,65,0.998936
645,9,1,0.998935
646,46,3,0.9989333333333332
647,14,15,0.9989330555555554
648,46,110,0.998933
649,37,111,0.998932
650,73,86,0.998922661238112
651,78,2,0.9989201079666324
652,121,71,0.9989143235792513
653,94,41,0.9989133333333332
654,37,101,0.998913
655,9,45,0.9989094444444444
656,399,1,0.998903
657,26,38,0.998898
658,24,108,0.9988894110519214
659,77,11,0.9988866442199776
660,208,54,0.998886
661,208,1,0.998886
662,17,52,0.9988844270556206
663,1,57,0.9988754447113922
664,14,20,0.9988705555555556
665,139,11,0.9988684077416806
666,137,5,0.998864
667,76,81,0.9988532975134332
668,14,17,0.9988458333333334
669,93,10,0.9988291981033128
670,20,112,0.9988274437679676
671,562,0,0.9988273909608172
672,9,63,0.998811111111111
673,121,56,0.9988100880122224
674,446,46,0.998809
675,78,25,0.9988022634937368
676,46,113,0.9988
677,76,42,0.9987921332174368
678,14,23,0.9987919444444444
679,9,17,0.9987869444444444
680,9,76,0.998778888888889
681,73,41,0.9987753754063164
682,20,96,0.998768882492102
683,20,88,0.998768882492102
684,78,20,0.9987682983003788
685,121,114,0.9987616844563872
686,12,42,0.9987525
687,298,14,0.9987449799196788
688,9,77,0.9987366666666666
689,9,71,0.998733611111111
690,14,12,0.9987316666666668
691,76,25,0.9987273387442832
692,9,81,0.998716527777778
693,77,71,0.9987070707070708
694,25,41,0.9987043985883806
